'Elapsedtime','CO2','Rhum','Temp','TVOC'
'seconds','ppm','%','degC','ppb'
20190927022327,486.00,59.00,30.00,44.00
20190927022427,481.00,59.00,30.10,45.00
20190927022527,474.00,59.00,30.00,45.00
20190927022627,477.00,59.00,30.00,45.00
20190927022727,485.00,59.00,30.00,45.00
20190927022827,486.00,59.00,30.10,45.00
20190927022927,483.00,59.00,30.10,45.00
20190927023027,495.00,59.00,30.00,45.00
20190927023127,491.00,59.00,29.90,45.00
20190927023227,490.00,59.00,30.00,45.00
20190927023327,492.00,59.00,30.00,44.00
20190927023427,495.00,59.00,30.00,45.00
20190927023527,499.00,59.00,30.10,45.00
20190927023627,483.00,59.00,30.00,45.00
20190927023727,484.00,59.00,30.10,45.00
20190927023827,486.00,59.00,30.00,44.00
20190927023927,486.00,59.00,29.90,42.00
20190927024028,487.00,59.00,30.00,43.00
20190927024128,482.00,59.00,29.90,44.00
20190927024228,487.00,59.00,30.10,43.00
20190927024328,492.00,59.00,30.10,42.00
20190927024428,488.00,59.00,30.00,43.00
20190927024528,479.00,59.00,30.10,42.00
20190927024628,480.00,59.00,30.10,43.00
20190927024728,483.00,59.00,30.00,43.00
20190927024828,483.00,59.00,30.00,42.00
20190927024928,481.00,59.00,30.10,43.00
20190927025028,484.00,59.00,30.00,42.00
20190927025128,484.00,59.00,29.90,43.00
20190927025228,480.00,59.00,30.10,43.00
20190927025328,484.00,59.00,30.00,42.00
20190927025428,486.00,59.00,30.10,42.00
20190927025528,483.00,59.00,30.10,43.00
20190927025628,489.00,58.00,30.10,41.00
20190927025729,489.00,58.00,30.10,41.00
20190927025829,486.00,59.00,30.00,41.00
20190927025929,489.00,59.00,30.00,42.00
20190927030029,486.00,59.00,30.10,42.00
20190927030129,485.00,59.00,30.00,42.00
20190927030229,487.00,59.00,30.00,40.00
20190927030329,484.00,59.00,30.00,40.00
20190927030429,488.00,59.00,30.00,40.00
20190927030529,487.00,59.00,30.00,40.00
20190927030629,493.00,59.00,30.00,40.00
20190927030729,491.00,59.00,30.00,40.00
20190927030829,490.00,59.00,29.90,41.00
